Year,Month,DayType,HourStart_Pacific,ExportRate_USD_per_kWh
2025,Jan,Weekday,0,0.08284
2025,Jan,Weekday,1,0.08103
2025,Jan,Weekday,2,0.07966
2025,Jan,Weekday,3,0.07909
2025,Jan,Weekday,4,0.08071
2025,Jan,Weekday,5,0.08506
2025,Jan,Weekday,6,0.08671
2025,Jan,Weekday,7,0.08276
2025,Jan,Weekday,8,0.06917
2025,Jan,Weekday,9,0.06280
2025,Jan,Weekday,10,0.05956
2025,Jan,Weekday,11,0.05805
2025,Jan,Weekday,12,0.05703
2025,Jan,Weekday,13,0.05577
2025,Jan,Weekday,14,0.05502
2025,Jan,Weekday,15,0.05711
2025,Jan,Weekday,16,0.07633
2025,Jan,Weekday,17,0.09446
2025,Jan,Weekday,18,0.09180
2025,Jan,Weekday,19,0.08476
2025,Jan,Weekday,20,0.08324
2025,Jan,Weekday,21,0.08474
2025,Jan,Weekday,22,0.08503
2025,Jan,Weekday,23,0.08558
2025,Jan,Weekend/Holiday,0,0.08370
2025,Jan,Weekend/Holiday,1,0.08425
2025,Jan,Weekend/Holiday,2,0.08174
2025,Jan,Weekend/Holiday,3,0.07999
2025,Jan,Weekend/Holiday,4,0.07984
2025,Jan,Weekend/Holiday,5,0.08200
2025,Jan,Weekend/Holiday,6,0.08489
2025,Jan,Weekend/Holiday,7,0.07758
2025,Jan,Weekend/Holiday,8,0.06287
2025,Jan,Weekend/Holiday,9,0.05528
2025,Jan,Weekend/Holiday,10,0.05321
2025,Jan,Weekend/Holiday,11,0.05191
2025,Jan,Weekend/Holiday,12,0.05211
2025,Jan,Weekend/Holiday,13,0.05005
2025,Jan,Weekend/Holiday,14,0.04862
2025,Jan,Weekend/Holiday,15,0.05410
2025,Jan,Weekend/Holiday,16,0.07825
2025,Jan,Weekend/Holiday,17,0.09946
2025,Jan,Weekend/Holiday,18,0.09203
2025,Jan,Weekend/Holiday,19,0.08570
2025,Jan,Weekend/Holiday,20,0.08539
2025,Jan,Weekend/Holiday,21,0.08401
2025,Jan,Weekend/Holiday,22,0.08345
2025,Jan,Weekend/Holiday,23,0.08333
2025,Feb,Weekday,0,0.08196
2025,Feb,Weekday,1,0.08072
2025,Feb,Weekday,2,0.08177
2025,Feb,Weekday,3,0.07954
2025,Feb,Weekday,4,0.08231
2025,Feb,Weekday,5,0.08321
2025,Feb,Weekday,6,0.07639
2025,Feb,Weekday,7,0.07237
2025,Feb,Weekday,8,0.05190
2025,Feb,Weekday,9,0.04019
2025,Feb,Weekday,10,0.03629
2025,Feb,Weekday,11,0.03553
2025,Feb,Weekday,12,0.03227
2025,Feb,Weekday,13,0.03067
2025,Feb,Weekday,14,0.02943
2025,Feb,Weekday,15,0.02905
2025,Feb,Weekday,16,0.06086
2025,Feb,Weekday,17,0.09737
2025,Feb,Weekday,18,0.08634
2025,Feb,Weekday,19,0.08086
2025,Feb,Weekday,20,0.08166
2025,Feb,Weekday,21,0.07618
2025,Feb,Weekday,22,0.08328
2025,Feb,Weekday,23,0.08382
2025,Feb,Weekend/Holiday,0,0.07948
2025,Feb,Weekend/Holiday,1,0.07801
2025,Feb,Weekend/Holiday,2,0.07753
2025,Feb,Weekend/Holiday,3,0.07719
2025,Feb,Weekend/Holiday,4,0.07683
2025,Feb,Weekend/Holiday,5,0.07644
2025,Feb,Weekend/Holiday,6,0.07130
2025,Feb,Weekend/Holiday,7,0.06292
2025,Feb,Weekend/Holiday,8,0.03712
2025,Feb,Weekend/Holiday,9,0.02204
2025,Feb,Weekend/Holiday,10,0.02384
2025,Feb,Weekend/Holiday,11,0.02445
2025,Feb,Weekend/Holiday,12,0.02000
2025,Feb,Weekend/Holiday,13,0.02177
2025,Feb,Weekend/Holiday,14,0.01626
2025,Feb,Weekend/Holiday,15,0.01633
2025,Feb,Weekend/Holiday,16,0.05024
2025,Feb,Weekend/Holiday,17,0.08874
2025,Feb,Weekend/Holiday,18,0.09227
2025,Feb,Weekend/Holiday,19,0.08262
2025,Feb,Weekend/Holiday,20,0.08090
2025,Feb,Weekend/Holiday,21,0.07703
2025,Feb,Weekend/Holiday,22,0.07468
2025,Feb,Weekend/Holiday,23,0.08018
2025,Mar,Weekday,0,0.06335
2025,Mar,Weekday,1,0.06399
2025,Mar,Weekday,2,0.06364
2025,Mar,Weekday,3,0.06258
2025,Mar,Weekday,4,0.06275
2025,Mar,Weekday,5,0.06616
2025,Mar,Weekday,6,0.06703
2025,Mar,Weekday,7,0.06609
2025,Mar,Weekday,8,0.04498
2025,Mar,Weekday,9,0.02140
2025,Mar,Weekday,10,0.01663
2025,Mar,Weekday,11,0.01947
2025,Mar,Weekday,12,0.01582
2025,Mar,Weekday,13,0.01410
2025,Mar,Weekday,14,0.01693
2025,Mar,Weekday,15,0.01398
2025,Mar,Weekday,16,0.02564
2025,Mar,Weekday,17,0.06239
2025,Mar,Weekday,18,0.07914
2025,Mar,Weekday,19,0.07793
2025,Mar,Weekday,20,0.07522
2025,Mar,Weekday,21,0.07764
2025,Mar,Weekday,22,0.06508
2025,Mar,Weekday,23,0.06307
2025,Mar,Weekend/Holiday,0,0.05337
2025,Mar,Weekend/Holiday,1,0.05658
2025,Mar,Weekend/Holiday,2,0.05965
2025,Mar,Weekend/Holiday,3,0.05912
2025,Mar,Weekend/Holiday,4,0.05984
2025,Mar,Weekend/Holiday,5,0.06468
2025,Mar,Weekend/Holiday,6,0.05834
2025,Mar,Weekend/Holiday,7,0.06355
2025,Mar,Weekend/Holiday,8,0.00685
2025,Mar,Weekend/Holiday,9,0.00358
2025,Mar,Weekend/Holiday,10,0.00570
2025,Mar,Weekend/Holiday,11,0.00189
2025,Mar,Weekend/Holiday,12,0.00629
2025,Mar,Weekend/Holiday,13,0.00126
2025,Mar,Weekend/Holiday,14,0.00005
2025,Mar,Weekend/Holiday,15,0.00269
2025,Mar,Weekend/Holiday,16,0.01587
2025,Mar,Weekend/Holiday,17,0.03555
2025,Mar,Weekend/Holiday,18,0.07993
2025,Mar,Weekend/Holiday,19,0.07581
2025,Mar,Weekend/Holiday,20,0.07419
2025,Mar,Weekend/Holiday,21,0.06701
2025,Mar,Weekend/Holiday,22,0.06477
2025,Mar,Weekend/Holiday,23,0.06590
2025,Apr,Weekday,0,0.07364
2025,Apr,Weekday,1,0.07110
2025,Apr,Weekday,2,0.07287
2025,Apr,Weekday,3,0.07189
2025,Apr,Weekday,4,0.06796
2025,Apr,Weekday,5,0.07101
2025,Apr,Weekday,6,0.06693
2025,Apr,Weekday,7,0.06145
2025,Apr,Weekday,8,0.01266
2025,Apr,Weekday,9,0.00723
2025,Apr,Weekday,10,0.00715
2025,Apr,Weekday,11,0.00756
2025,Apr,Weekday,12,0.00650
2025,Apr,Weekday,13,0.00447
2025,Apr,Weekday,14,0.00153
2025,Apr,Weekday,15,0.00036
2025,Apr,Weekday,16,0.00141
2025,Apr,Weekday,17,0.00734
2025,Apr,Weekday,18,0.07715
2025,Apr,Weekday,19,0.07286
2025,Apr,Weekday,20,0.07097
2025,Apr,Weekday,21,0.07154
2025,Apr,Weekday,22,0.07148
2025,Apr,Weekday,23,0.06916
2025,Apr,Weekend/Holiday,0,0.06609
2025,Apr,Weekend/Holiday,1,0.06853
2025,Apr,Weekend/Holiday,2,0.07551
2025,Apr,Weekend/Holiday,3,0.07974
2025,Apr,Weekend/Holiday,4,0.08484
2025,Apr,Weekend/Holiday,5,0.07165
2025,Apr,Weekend/Holiday,6,0.07772
2025,Apr,Weekend/Holiday,7,0.05291
2025,Apr,Weekend/Holiday,8,0.00124
2025,Apr,Weekend/Holiday,9,0.00155
2025,Apr,Weekend/Holiday,10,0.00785
2025,Apr,Weekend/Holiday,11,0.00514
2025,Apr,Weekend/Holiday,12,0.00154
2025,Apr,Weekend/Holiday,13,0.00005
2025,Apr,Weekend/Holiday,14,0.00005
2025,Apr,Weekend/Holiday,15,0.00003
2025,Apr,Weekend/Holiday,16,0.00003
2025,Apr,Weekend/Holiday,17,0.00645
2025,Apr,Weekend/Holiday,18,0.07918
2025,Apr,Weekend/Holiday,19,0.07720
2025,Apr,Weekend/Holiday,20,0.06938
2025,Apr,Weekend/Holiday,21,0.07147
2025,Apr,Weekend/Holiday,22,0.07136
2025,Apr,Weekend/Holiday,23,0.06871
2025,May,Weekday,0,0.07463
2025,May,Weekday,1,0.07061
2025,May,Weekday,2,0.07130
2025,May,Weekday,3,0.07162
2025,May,Weekday,4,0.07125
2025,May,Weekday,5,0.06841
2025,May,Weekday,6,0.06199
2025,May,Weekday,7,0.05788
2025,May,Weekday,8,0.02678
2025,May,Weekday,9,0.01495
2025,May,Weekday,10,0.01149
2025,May,Weekday,11,0.01335
2025,May,Weekday,12,0.00853
2025,May,Weekday,13,0.00636
2025,May,Weekday,14,0.00566
2025,May,Weekday,15,0.00520
2025,May,Weekday,16,0.01083
2025,May,Weekday,17,0.03062
2025,May,Weekday,18,0.07734
2025,May,Weekday,19,0.07985
2025,May,Weekday,20,0.07189
2025,May,Weekday,21,0.06991
2025,May,Weekday,22,0.07094
2025,May,Weekday,23,0.07263
2025,May,Weekend/Holiday,0,0.06987
2025,May,Weekend/Holiday,1,0.06838
2025,May,Weekend/Holiday,2,0.07105
2025,May,Weekend/Holiday,3,0.07926
2025,May,Weekend/Holiday,4,0.07631
2025,May,Weekend/Holiday,5,0.07078
2025,May,Weekend/Holiday,6,0.06335
2025,May,Weekend/Holiday,7,0.02775
2025,May,Weekend/Holiday,8,0.00692
2025,May,Weekend/Holiday,9,0.00665
2025,May,Weekend/Holiday,10,0.00489
2025,May,Weekend/Holiday,11,0.00767
2025,May,Weekend/Holiday,12,0.00465
2025,May,Weekend/Holiday,13,0.00006
2025,May,Weekend/Holiday,14,0.00006
2025,May,Weekend/Holiday,15,0.00005
2025,May,Weekend/Holiday,16,0.00004
2025,May,Weekend/Holiday,17,0.00815
2025,May,Weekend/Holiday,18,0.06476
2025,May,Weekend/Holiday,19,0.07940
2025,May,Weekend/Holiday,20,0.06887
2025,May,Weekend/Holiday,21,0.06374
2025,May,Weekend/Holiday,22,0.06497
2025,May,Weekend/Holiday,23,0.06681
2025,Jun,Weekday,0,0.07649
2025,Jun,Weekday,1,0.07028
2025,Jun,Weekday,2,0.06918
2025,Jun,Weekday,3,0.07215
2025,Jun,Weekday,4,0.07053
2025,Jun,Weekday,5,0.07164
2025,Jun,Weekday,6,0.06836
2025,Jun,Weekday,7,0.06649
2025,Jun,Weekday,8,0.05213
2025,Jun,Weekday,9,0.04197
2025,Jun,Weekday,10,0.04004
